Area,CL District,CL Region,CL State,Date Posted,Housing Category,Location,Price,Time Posted,Title,URL
None,eby,sfbay,California,2019-09-09,rooms & shares,san leandro,750.0,20:29,San Leandro Room for Rent,https://sfbay.craigslist.org/eby/roo/d/san-leandro-san-leandro-room-for-rent/6975309295.html
133ft2,eby,sfbay,California,2019-09-09,rooms & shares,richmond / point / annex,750.0,10:18,"$750 Room Pt. Richmond, Bart, 580 Fwy, Ferry, 5 Minute Bart,5 min 580",https://sfbay.craigslist.org/eby/roo/d/richmond-750-room-pt-richmond-bart-580/6971419670.html
None,eby,sfbay,California,9/9/19,rooms & shares,berkeley,775.0,16:03,Single Room in a House of graduate students/young professionals,https://sfbay.craigslist.org/eby/roo/d/berkeley-single-room-in-house-of/6975174469.html
None,sfc,sfbay,California,9/9/19,rooms & shares,richmond / seacliff,850.0,14:53,private room in 2bed/1bath,https://sfbay.craigslist.org/sfc/roo/d/san-francisco-private-room-in-2bed-1bath/6975123663.html
170ft2,eby,sfbay,California,9/9/19,rooms & shares,berkeley,600.0,13:31,"Clean, Quiet, Furnished Room for Male UCB Student",https://sfbay.craigslist.org/eby/roo/d/berkeley-clean-quiet-furnished-room-for/6975053602.html
950ft2,eby,sfbay,California,9/8/19,rooms & shares,oakland hills / mills,700.0,20:00,Laurel district room in 2bd apt + help w dog,https://sfbay.craigslist.org/eby/roo/d/oakland-laurel-district-room-in-2bd-apt/6974516989.html
None,eby,sfbay,California,9/8/19,sublets & temporary,oakland north / temescal,600.0,17:40,Short-term Sublet in sunny 2bed North Oakland bungalow,https://sfbay.craigslist.org/eby/sub/d/emeryville-short-term-sublet-in-sunny/6974455583.html
None,eby,sfbay,California,9/8/19,rooms & shares,san leandro,750.0,15:06,Room for Rent - Available Oct 1st,https://sfbay.craigslist.org/eby/roo/d/san-leandro-room-for-rent-available-oct/6974369848.html
None,eby,sfbay,California,9/8/19,rooms & shares,alameda,640.0,14:21,Rooms For Rent,https://sfbay.craigslist.org/eby/roo/d/alameda-rooms-for-rent/6974341052.html
110ft2,eby,sfbay,California,9/8/19,rooms & shares,richmond / point / annex,700.0,12:46,ROOM FOR RENT - CLOSE TO RICHMOND BART & KAISER HOSPITAL,https://sfbay.craigslist.org/eby/roo/d/room-for-rent-close-to-richmond-bart/6974274755.html
None,eby,sfbay,California,9/8/19,sublets & temporary,berkeley north / hills,700.0,11:43,N Berkeley studio with view of golden gate - Sep 10-30,https://sfbay.craigslist.org/eby/sub/d/berkeley-berkeley-studio-with-view-of/6970636702.html
400ft2,eby,sfbay,California,9/8/19,rooms & shares,oakland east,700.0,7:32,East Oakland / San Leandro  $700,https://sfbay.craigslist.org/eby/roo/d/oakland-east-oakland-san-leandro-700/6974051766.html
800ft2,sfc,sfbay,California,9/8/19,rooms & shares,inner richmond,900.0,4:02,October and November Sublet,https://sfbay.craigslist.org/sfc/roo/d/san-francisco-october-and-november/6973975157.html
130ft2,eby,sfbay,California,9/8/19,rooms & shares,oakland west,775.0,1:01,Room with sleeping/storage loft at ABCO Artspace,https://sfbay.craigslist.org/eby/roo/d/emeryville-room-with-sleeping-storage/6973959392.html
None,eby,sfbay,California,9/7/19,rooms & shares,san leandro,700.0,22:02,Room 4 rent,https://sfbay.craigslist.org/eby/roo/d/san-leandro-room-4-rent/6973932380.html
None,eby,sfbay,California,9/7/19,rooms & shares,san leandro,760.0,13:13,1 Room Available for Rent in a 3 Bedroom House in San Lorenzo,https://sfbay.craigslist.org/eby/roo/d/san-lorenzo-1-room-available-for-rent/6973691543.html
150ft2,eby,sfbay,California,9/7/19,rooms & shares,berkeley north / hills,750.0,12:13,Room for Rent in Beautiful North Berkeley Hills House,https://sfbay.craigslist.org/eby/roo/d/room-for-rent-in-beautiful-north/6973643567.html
None,eby,sfbay,California,9/7/19,rooms & shares,oakland lake merritt / grand,750.0,2:07,Lake Merritt Two Bedroom,https://sfbay.craigslist.org/eby/roo/d/oakland-lake-merritt-two-bedroom/6973281253.html
86ft2,sfc,sfbay,California,9/6/19,rooms & shares,richmond / seacliff,830.0,22:15,Room available three blocks from GG Park!,https://sfbay.craigslist.org/sfc/roo/d/san-francisco-room-available-three/6973253404.html
None,eby,sfbay,California,9/6/19,rooms & shares,san leandro,780.0,21:50,Room for rent,https://sfbay.craigslist.org/eby/roo/d/san-leandro-room-for-rent/6973245306.html
None,eby,sfbay,California,9/6/19,rooms & shares,san leandro,780.0,21:38,room for rent,https://sfbay.craigslist.org/eby/roo/d/san-leandro-room-for-rent/6973240529.html
None,eby,sfbay,California,9/6/19,rooms & shares,Oakland,725.0,20:58,Spacious Room in Beautiful East Oakland House,https://sfbay.craigslist.org/eby/roo/d/oakland-spacious-room-in-beautiful-east/6973235749.html
950ft2,eby,sfbay,California,9/6/19,rooms & shares,oakland hills / mills,700.0,20:51,Laurel district room in 2bd apt + help w dog (:,https://sfbay.craigslist.org/eby/roo/d/oakland-laurel-district-room-in-2bd-apt/6973233744.html
None,eby,sfbay,California,9/6/19,rooms & shares,oakland north / temescal,710.0,17:53,Room for Rent,https://sfbay.craigslist.org/eby/roo/d/room-for-rent/6973145958.html
None,eby,sfbay,California,9/6/19,rooms & shares,san leandro,750.0,14:07,Spacious Room w Mountain Views - Utilities Included!,https://sfbay.craigslist.org/eby/roo/d/oakland-spacious-room-mountain-views/6967596070.html
None,eby,sfbay,California,9/6/19,sublets & temporary,berkeley,650.0,13:57,loft bedroom in family home,https://sfbay.craigslist.org/eby/sub/d/berkeley-loft-bedroom-in-family-home/6973004433.html
100ft2,eby,sfbay,California,9/6/19,rooms & shares,oakland west,685.0,9:18,Room above liquor store in 4bdrm/1ba flat. Temp>perm. 0% exploitation,https://sfbay.craigslist.org/eby/roo/d/oakland-room-above-liquor-store-in/6972741872.html
None,eby,sfbay,California,9/5/19,rooms & shares,"hercules, pinole, san pablo, el sob",650.0,18:28,"Privacy, Space and Beautiful view from room.",https://sfbay.craigslist.org/eby/roo/d/hercules-privacy-space-and-beautiful/6972420614.html
135ft2,eby,sfbay,California,9/5/19,rooms & shares,berkeley,770.0,17:50,CHARMING SUNNY ROOM FOR RENT IN BERKELEY WOMEN'S HOME,https://sfbay.craigslist.org/eby/roo/d/berkeley-charming-sunny-room-for-rent/6972400618.html
None,eby,sfbay,California,9/5/19,rooms & shares,san leandro,775.0,16:26,Private master to share with F day sleeper,https://sfbay.craigslist.org/eby/roo/d/san-leandro-private-master-to-share/6970848274.html
None,eby,sfbay,California,9/5/19,rooms & shares,san leandro,780.0,11:55,ROOM FOR RENT $780 a month,https://sfbay.craigslist.org/eby/roo/d/san-leandro-room-for-rent-780-month/6967664035.html
1800ft2,eby,sfbay,California,9/5/19,rooms & shares,oakland hills / mills,575.0,9:12,SHORT STAY on the GULF COAST - NO DEPOSIT plus ALL UTILITIES INCLUDED,https://sfbay.craigslist.org/eby/roo/d/oakland-short-stay-on-the-gulf-coast-no/6971991597.html
None,eby,sfbay,California,9/5/19,sublets & temporary,berkeley,650.0,6:41,Tastefully Beatuful 1 Bedroom 1 Bath Apartment - W/D ensuite,https://sfbay.craigslist.org/eby/sub/d/berkeley-tastefully-beatuful-1-bedroom/6971824561.html
None,eby,sfbay,California,9/4/19,rooms & shares,san leandro,750.0,23:25,Furnished Private Room for Female,https://sfbay.craigslist.org/eby/roo/d/san-leandro-furnished-private-room-for/6971769461.html
None,sfc,sfbay,California,9/4/19,rooms & shares,inner richmond,850.0,22:04,Cozy room available Oct. 1 in Inner Richmond!,https://sfbay.craigslist.org/sfc/roo/d/san-francisco-cozy-room-available-oct-1/6970062207.html
120ft2,eby,sfbay,California,9/4/19,rooms & shares,"hercules, pinole, san pablo, el sob",675.0,21:45,Room for rent in El Sobrante home,https://sfbay.craigslist.org/eby/roo/d/el-sobrante-room-for-rent-in-el/6971751150.html
None,eby,sfbay,California,9/4/19,rooms & shares,oakland east,660.0,19:05,"BIG upstairs room, attached full bath, shared kitchen",https://sfbay.craigslist.org/eby/roo/d/oakland-big-upstairs-room-attached-full/6971697615.html
None,eby,sfbay,California,9/4/19,rooms & shares,oakland east,700.0,13:12,SINGLE ROOM AVAILABLE (Female Preferred),https://sfbay.craigslist.org/eby/roo/d/oakland-single-room-available-female/6971464274.html
None,eby,sfbay,California,9/4/19,rooms & shares,san leandro,780.0,11:41,ROOM FOR RENT $780,https://sfbay.craigslist.org/eby/roo/d/san-leandro-room-for-rent-780/6971362509.html
None,eby,sfbay,California,9/4/19,rooms & shares,oakland east,750.0,8:53,Quiet Room w Mountain Views - Utilities Included!,https://sfbay.craigslist.org/eby/roo/d/oakland-quiet-room-mountain-views/6967593312.html
None,eby,sfbay,California,9/4/19,rooms & shares,albany / el cerrito,720.0,0:07,Lovely Home Looking For New Roommate,https://sfbay.craigslist.org/eby/roo/d/el-cerrito-lovely-home-looking-for-new/6971018023.html
200ft2,eby,sfbay,California,9/3/19,rooms & shares,richmond / point / annex,750.0,20:01,One bedroom and one bath( 2 sets for rent ),https://sfbay.craigslist.org/eby/roo/d/san-pablo-one-bedroom-and-one-bath-2/6970963068.html
None,eby,sfbay,California,9/3/19,rooms & shares,richmond / point / annex,750.0,17:52,SE RENTA CUARTO,https://sfbay.craigslist.org/eby/roo/d/richmond-se-renta-cuarto/6970903974.html
None,eby,sfbay,California,9/3/19,rooms & shares,berkeley,695.0,16:41,Room available in shared apartment,https://sfbay.craigslist.org/eby/roo/d/berkeley-room-available-in-shared/6970862588.html
100ft2,eby,sfbay,California,9/3/19,rooms & shares,alameda,640.0,15:24,舒適雅房Fremont room for rent,https://sfbay.craigslist.org/eby/roo/d/fremont-fremont-room-for-rent/6959337821.html
None,eby,sfbay,California,9/3/19,rooms & shares,"hercules, pinole, san pablo, el sob",750.0,11:41,One room one bath,https://sfbay.craigslist.org/eby/roo/d/pinole-one-room-one-bath/6970618787.html
200ft2,eby,sfbay,California,9/3/19,rooms & shares,oakland hills / mills,750.0,11:24,"Sublet, Now thru 10/15, Furnished Master Bedroom in Women-shared Home",https://sfbay.craigslist.org/eby/roo/d/oakland-sublet-now-thru-furnished/6967881452.html
None,eby,sfbay,California,9/3/19,rooms & shares,san leandro,750.0,8:23,Looking for two roommates,https://sfbay.craigslist.org/eby/roo/d/san-leandro-looking-for-two-roommates/6970423487.html
None,eby,sfbay,California,9/3/19,rooms & shares,"hercules, pinole, san pablo, el sob",700.0,8:55,Room available in 2 bed Apt.,https://sfbay.craigslist.org/eby/roo/d/san-pablo-room-available-in-2-bed-apt/6970439477.html
None,eby,sfbay,California,9/3/19,sublets & temporary,oakland rockridge / claremont,600.0,0:38,September only,https://sfbay.craigslist.org/eby/sub/d/oakland-september-only/6970252922.html
None,eby,sfbay,California,9/2/19,rooms & shares,oakland north / temescal,610.0,22:50,Private Small Room Tight Budget,https://sfbay.craigslist.org/eby/roo/d/emeryville-private-small-room-tight/6970233195.html
72ft2,eby,sfbay,California,9/2/19,sublets & temporary,albany / el cerrito,650.0,8:07,"Quiet room, 10 min EC BART, avail Sept 1",https://sfbay.craigslist.org/eby/sub/d/el-cerrito-quiet-room-10-min-ec-bart/6969716133.html
None,eby,sfbay,California,9/2/19,rooms & shares,oakland lake merritt / grand,550.0,0:33,★ ★ ★ Private Room/ $550 a month ★ ★ ★,https://sfbay.craigslist.org/eby/roo/d/oakland-private-room-550-month/6969584946.html
110ft2,eby,sfbay,California,9/1/19,rooms & shares,"hercules, pinole, san pablo, el sob",695.0,14:51,Cozy Cottage in the Hills,https://sfbay.craigslist.org/eby/roo/d/san-pablo-cozy-cottage-in-the-hills/6969407343.html
None,eby,sfbay,California,8/29/19,rooms & shares,oakland east,550.0,12:44,(*.*) rooms and shares 2 phong cho thue,https://sfbay.craigslist.org/eby/roo/d/rooms-and-shares-2-phong-cho-thue/6962008594.html
None,eby,sfbay,California,8/29/19,rooms & shares,richmond / point / annex,760.0,8:41,SUNNY BIG ROOM FOR RENT OCT 1,https://sfbay.craigslist.org/eby/roo/d/richmond-sunny-big-room-for-rent-oct-1/6959525891.html
120ft2,eby,sfbay,California,8/28/19,rooms & shares,oakland east,750.0,17:02,Backyard Room For Rent,https://sfbay.craigslist.org/eby/roo/d/oakland-backyard-room-for-rent/6954177052.html
125ft2,sfc,sfbay,California,8/28/19,rooms & shares,inner richmond,890.0,13:51,Private medium size room w/parking available now,https://sfbay.craigslist.org/sfc/roo/d/san-francisco-private-medium-size-room/6964619109.html
110ft2,eby,sfbay,California,8/28/19,rooms & shares,richmond / point / annex,650.0,9:28,Sunny and Quiet Room - Furnished; Light Kitchen Use  - See it Soon.,https://sfbay.craigslist.org/eby/roo/d/san-pablo-sunny-and-quiet-room/6952056334.html
72ft2,eby,sfbay,California,8/27/19,sublets & temporary,albany / el cerrito,750.0,13:24,"Single room, 10 min EC BART, avail Sept 1",https://sfbay.craigslist.org/eby/sub/d/el-cerrito-single-room-10-min-ec-bart/6962281576.html
72ft2,eby,sfbay,California,8/27/19,rooms & shares,albany / el cerrito,750.0,13:23,"Quiet, nicely furnished single10 min Plaza BART, available Sept 2019",https://sfbay.craigslist.org/eby/roo/d/el-cerrito-quiet-nicely-furnished/6962285410.html
None,eby,sfbay,California,8/22/19,rooms & shares,oakland north / temescal,725.0,14:59,Room in House $725 + Utilities,https://sfbay.craigslist.org/eby/roo/d/room-in-house-725-utilities/6962528023.html
450ft2,eby,sfbay,California,2019-09-09,sublets & temporary,"hercules, pinole, san pablo, el sob",500.0,17:49,Sublet Offered: Adorable 1-bedroom cottage Sep 21-29,https://sfbay.craigslist.org/eby/sub/d/san-pablo-sublet-offered-adorable-1/6975239344.html
